Survey Questions,Country,Survey Responses,Percentage
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Italy,2 - Agree,0.242676431
I am worried about potential side effects of a Covid-19 vaccine,Italy,2 - Agree,0.176764314
I am worried about getting Covid-19,Italy,2 - Agree,0.213049268
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Italy,1 - Strongly agree,0.376165113
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Italy,1 - Strongly agree,0.447070573
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Italy,1 - Strongly agree,0.507989348
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Italy,1 - Strongly agree,0.304926764
I am worried about potential side effects of a Covid-19 vaccine,Italy,1 - Strongly agree,0.235019973
I am worried about getting Covid-19,Italy,1 - Strongly agree,0.253661784
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,5 - Strongly disagree,0.071904128
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,5 - Strongly disagree,0.156458056
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,5 - Strongly disagree,0.08988016
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,5 - Strongly disagree,0.064580559
I am worried about potential side effects of a Covid-19 vaccine,Japan,5 - Strongly disagree,0.025299601
I am worried about getting Covid-19,Japan,5 - Strongly disagree,0.03861518
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,4 - Disagree,0.085885486
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,4 - Disagree,0.137816245
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,4 - Disagree,0.115845539
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,4 - Disagree,0.073901465
I am worried about potential side effects of a Covid-19 vaccine,Japan,4 - Disagree,0.064580559
I am worried about getting Covid-19,Japan,4 - Disagree,0.048601864
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,3 - Neutral,0.415446072
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,3 - Neutral,0.338215712
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,3 - Neutral,0.316910786
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,3 - Neutral,0.39081225
I am worried about potential side effects of a Covid-19 vaccine,Japan,3 - Neutral,0.246338216
I am worried about getting Covid-19,Japan,3 - Neutral,0.237683089
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,2 - Agree,0.249667111
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,2 - Agree,0.186418109
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,2 - Agree,0.226364847
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,2 - Agree,0.310918775
I am worried about potential side effects of a Covid-19 vaccine,Japan,2 - Agree,0.310918775
I am worried about getting Covid-19,Japan,2 - Agree,0.264980027
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Japan,1 - Strongly agree,0.177097204
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Japan,1 - Strongly agree,0.181091877
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Japan,1 - Strongly agree,0.250998668
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Japan,1 - Strongly agree,0.159786951
I am worried about potential side effects of a Covid-19 vaccine,Japan,1 - Strongly agree,0.35286285
I am worried about getting Covid-19,Japan,1 - Strongly agree,0.41011984
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,5 - Strongly disagree,0.117028271
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,5 - Strongly disagree,0.122287968
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,5 - Strongly disagree,0.099276792
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,5 - Strongly disagree,0.069033531
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,5 - Strongly disagree,0.134122288
I am worried about getting Covid-19,Netherlands,5 - Strongly disagree,0.114398422
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,4 - Disagree,0.111768573
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,4 - Disagree,0.079552926
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,4 - Disagree,0.08086785
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,4 - Disagree,0.093359632
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,4 - Disagree,0.207758054
I am worried about getting Covid-19,Netherlands,4 - Disagree,0.186719264
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,3 - Neutral,0.239973702
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,3 - Neutral,0.182117028
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,3 - Neutral,0.187376726
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,3 - Neutral,0.27547666
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,3 - Neutral,0.257067719
I am worried about getting Covid-19,Netherlands,3 - Neutral,0.372781065
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,2 - Agree,0.169625247
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,2 - Agree,0.120973044
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,2 - Agree,0.135437212
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,2 - Agree,0.257725181
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,2 - Agree,0.201840894
I am worried about getting Covid-19,Netherlands,2 - Agree,0.191978961
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Netherlands,1 - Strongly agree,0.361604208
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Netherlands,1 - Strongly agree,0.495069034
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Netherlands,1 - Strongly agree,0.49704142
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Netherlands,1 - Strongly agree,0.304404997
I am worried about potential side effects of a Covid-19 vaccine,Netherlands,1 - Strongly agree,0.199211045
I am worried about getting Covid-19,Netherlands,1 - Strongly agree,0.134122288
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,5 - Strongly disagree,0.128452579
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,5 - Strongly disagree,0.169717138
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,5 - Strongly disagree,0.125457571
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,5 - Strongly disagree,0.073876872
I am worried about potential side effects of a Covid-19 vaccine,Norway,5 - Strongly disagree,0.124792013
I am worried about getting Covid-19,Norway,5 - Strongly disagree,0.109816972
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,4 - Disagree,0.08985025
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,4 - Disagree,0.094509151
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,4 - Disagree,0.091181364
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,4 - Disagree,0.09484193
I am worried about potential side effects of a Covid-19 vaccine,Norway,4 - Disagree,0.185024958
I am worried about getting Covid-19,Norway,4 - Disagree,0.182362729
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,3 - Neutral,0.234608985
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,3 - Neutral,0.180698835
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,3 - Neutral,0.183361065
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,3 - Neutral,0.232612313
I am worried about potential side effects of a Covid-19 vaccine,Norway,3 - Neutral,0.251580699
I am worried about getting Covid-19,Norway,3 - Neutral,0.291181364
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,2 - Agree,0.147753744
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,2 - Agree,0.102828619
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,2 - Agree,0.127454243
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,2 - Agree,0.235607321
I am worried about potential side effects of a Covid-19 vaccine,Norway,2 - Agree,0.19733777
I am worried about getting Covid-19,Norway,2 - Agree,0.210648918
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Norway,1 - Strongly agree,0.399334443
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Norway,1 - Strongly agree,0.452246256
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Norway,1 - Strongly agree,0.472545757
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Norway,1 - Strongly agree,0.363061564
I am worried about potential side effects of a Covid-19 vaccine,Norway,1 - Strongly agree,0.241264559
I am worried about getting Covid-19,Norway,1 - Strongly agree,0.205990017
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,5 - Strongly disagree,0.114227435
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,5 - Strongly disagree,0.148393677
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Singapore,5 - Strongly disagree,0.081591025
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Singapore,5 - Strongly disagree,0.033146354
I am worried about potential side effects of a Covid-19 vaccine,Singapore,5 - Strongly disagree,0.039265681
I am worried about getting Covid-19,Singapore,5 - Strongly disagree,0.068842427
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Singapore,4 - Disagree,0.145843957
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Singapore,4 - Disagree,0.160122387
