Country,Survey Questions,Survey Responses,Number of Records,Total,Fit Mean,Country Records,Two Sigma (Positive),Two Sigma (Negative),Three Sigma (Positive),Three Sigma (Negative),Percentage
Sweden,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,508,34026,19.17%,3005,20.58%,17.76%,21.32%,17.01%,16.91%
Spain,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,610,34026,19.17%,3008,20.57%,17.76%,21.32%,17.01%,20.28%
South Korea,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,266,34026,19.17%,978,21.63%,16.70%,22.94%,15.39%,27.20%
Singapore,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,689,34026,19.17%,1961,20.91%,17.43%,21.83%,16.50%,35.14%
Norway,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,543,34026,19.17%,3005,20.58%,17.76%,21.32%,17.01%,18.07%
Netherlands,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,277,34026,19.17%,1521,21.15%,17.19%,22.20%,16.14%,18.21%
Japan,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,508,34026,19.17%,1502,21.16%,17.18%,22.21%,16.12%,33.82%
Italy,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,538,34026,19.17%,3004,20.58%,17.76%,21.32%,17.01%,17.91%
Germany,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,343,34026,19.17%,2059,20.87%,17.47%,21.77%,16.57%,16.66%
France,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,536,34026,19.17%,3069,20.56%,17.78%,21.30%,17.04%,17.46%
Finland,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,341,34026,19.17%,2013,20.89%,17.45%,21.80%,16.54%,16.94%
Denmark,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,310,34026,19.17%,2001,20.89%,17.44%,21.81%,16.53%,15.49%
Canada,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,327,34026,19.17%,1971,20.91%,17.43%,21.83%,16.51%,16.59%
Australia,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,442,34026,19.17%,1925,20.93%,17.41%,21.86%,16.48%,22.96%
United Kingdom,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,251,34026,11.44%,3004,12.57%,10.30%,13.18%,9.69%,8.36%
Sweden,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,281,34026,11.44%,3005,12.57%,10.30%,13.18%,9.69%,9.35%
Spain,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,335,34026,11.44%,3008,12.57%,10.30%,13.18%,9.69%,11.14%
South Korea,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,205,34026,11.44%,978,13.43%,9.44%,14.49%,8.38%,20.96%
Singapore,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,306,34026,11.44%,1961,12.84%,10.03%,13.59%,9.28%,15.60%
Norway,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,309,34026,11.44%,3005,12.57%,10.30%,13.18%,9.69%,10.28%
Netherlands,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,184,34026,11.44%,1521,13.03%,9.84%,13.88%,8.99%,12.10%
Japan,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,280,34026,11.44%,1502,13.04%,9.83%,13.90%,8.97%,18.64%
Italy,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,322,34026,11.44%,3004,12.57%,10.30%,13.18%,9.69%,10.72%
Germany,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,281,34026,11.44%,2059,12.81%,10.06%,13.54%,9.33%,13.65%
France,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,273,34026,11.44%,3069,12.56%,10.31%,13.16%,9.71%,8.90%
Finland,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,274,34026,11.44%,2013,12.83%,10.05%,13.56%,9.31%,13.61%
Denmark,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,141,34026,11.44%,2001,12.83%,10.04%,13.57%,9.30%,7.05%
Canada,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,186,34026,11.44%,1971,12.84%,10.03%,13.59%,9.28%,9.44%
Australia,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",2 - Agree,263,34026,11.44%,1925,12.86%,10.01%,13.61%,9.26%,13.66%
United Kingdom,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,2048,34026,42.19%,3004,43.96%,40.43%,44.90%,39.49%,68.18%
Sweden,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,1427,34026,42.19%,3005,43.96%,40.43%,44.90%,39.49%,47.49%
Spain,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,1280,34026,42.19%,3008,43.96%,40.43%,44.90%,39.49%,42.55%
South Korea,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,228,34026,42.19%,978,45.29%,39.10%,46.93%,37.46%,23.31%
Singapore,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,361,34026,42.19%,1961,44.38%,40.01%,45.54%,38.85%,18.41%
Norway,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,1359,34026,42.19%,3005,43.96%,40.43%,44.90%,39.49%,45.22%
Netherlands,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,753,34026,42.19%,1521,44.68%,39.71%,45.99%,38.40%,49.51%
Japan,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,272,34026,42.19%,1502,44.69%,39.70%,46.02%,38.37%,18.11%
Italy,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,1343,34026,42.19%,3004,43.96%,40.43%,44.90%,39.49%,44.71%
Germany,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,798,34026,42.19%,2059,44.33%,40.06%,45.46%,38.93%,38.76%
France,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,834,34026,42.19%,3069,43.94%,40.45%,44.87%,39.52%,27.17%
Finland,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,888,34026,42.19%,2013,44.35%,40.04%,45.50%,38.89%,44.11%
Denmark,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,1189,34026,42.19%,2001,44.36%,40.03%,45.51%,38.88%,59.42%
Canada,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,892,34026,42.19%,1971,44.37%,40.01%,45.53%,38.86%,45.26%
Australia,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",1 - Strongly agree,685,34026,42.19%,1925,44.40%,39.99%,45.57%,38.82%,35.58%
United Kingdom,I am worried about getting Covid-19,5 - Strongly disagree,307,34026,10.92%,3004,12.04%,9.81%,12.63%,9.21%,10.22%
Sweden,I am worried about getting Covid-19,5 - Strongly disagree,418,34026,10.92%,3005,12.04%,9.81%,12.63%,9.21%,13.91%
Spain,I am worried about getting Covid-19,5 - Strongly disagree,206,34026,10.92%,3008,12.04%,9.81%,12.63%,9.21%,6.85%
South Korea,I am worried about getting Covid-19,5 - Strongly disagree,49,34026,10.92%,978,12.88%,8.97%,13.91%,7.93%,5.01%
Singapore,I am worried about getting Covid-19,5 - Strongly disagree,135,34026,10.92%,1961,12.30%,9.54%,13.03%,8.81%,6.88%
Norway,I am worried about getting Covid-19,5 - Strongly disagree,330,34026,10.92%,3005,12.04%,9.81%,12.63%,9.21%,10.98%
Netherlands,I am worried about getting Covid-19,5 - Strongly disagree,174,34026,10.92%,1521,12.49%,9.35%,13.32%,8.52%,11.44%
Japan,I am worried about getting Covid-19,5 - Strongly disagree,58,34026,10.92%,1502,12.50%,9.34%,13.34%,8.51%,3.86%
Italy,I am worried about getting Covid-19,5 - Strongly disagree,268,34026,10.92%,3004,12.04%,9.81%,12.63%,9.21%,8.92%
Germany,I am worried about getting Covid-19,5 - Strongly disagree,282,34026,10.92%,2059,12.27%,9.57%,12.98%,8.86%,13.70%
France,I am worried about getting Covid-19,5 - Strongly disagree,487,34026,10.92%,3069,12.02%,9.82%,12.61%,9.23%,15.87%
Finland,I am worried about getting Covid-19,5 - Strongly disagree,218,34026,10.92%,2013,12.28%,9.56%,13.01%,8.84%,10.83%
Denmark,I am worried about getting Covid-19,5 - Strongly disagree,243,34026,10.92%,2001,12.29%,9.55%,13.01%,8.83%,12.14%
Canada,I am worried about getting Covid-19,5 - Strongly disagree,256,34026,10.92%,1971,12.30%,9.54%,13.03%,8.81%,12.99%
Australia,I am worried about getting Covid-19,5 - Strongly disagree,285,34026,10.92%,1925,12.31%,9.53%,13.05%,8.79%,14.81%
United Kingdom,I am worried about getting Covid-19,4 - Disagree,421,34026,14.86%,3004,16.13%,13.58%,16.80%,12.91%,14.01%
Sweden,I am worried about getting Covid-19,4 - Disagree,537,34026,14.86%,3005,16.13%,13.58%,16.80%,12.91%,17.87%
Spain,I am worried about getting Covid-19,4 - Disagree,238,34026,14.86%,3008,16.13%,13.59%,16.80%,12.91%,7.91%
South Korea,I am worried about getting Covid-19,4 - Disagree,119,34026,14.86%,978,17.09%,12.63%,18.27%,11.44%,12.17%
Singapore,I am worried about getting Covid-19,4 - Disagree,265,34026,14.86%,1961,16.43%,13.28%,17.27%,12.45%,13.51%
Norway,I am worried about getting Covid-19,4 - Disagree,548,34026,14.86%,3005,16.13%,13.58%,16.80%,12.91%,18.24%
Netherlands,I am worried about getting Covid-19,4 - Disagree,284,34026,14.86%,1521,16.64%,13.07%,17.59%,12.12%,18.67%
Japan,I am worried about getting Covid-19,4 - Disagree,73,34026,14.86%,1502,16.65%,13.06%,17.61%,12.10%,4.86%
Italy,I am worried about getting Covid-19,4 - Disagree,365,34026,14.86%,3004,16.13%,13.58%,16.80%,12.91%,12.15%
Germany,I am worried about getting Covid-19,4 - Disagree,348,34026,14.86%,2059,16.39%,13.32%,17.21%,12.50%,16.90%
France,I am worried about getting Covid-19,4 - Disagree,438,34026,14.86%,3069,16.11%,13.60%,16.78%,12.93%,14.27%
Finland,I am worried about getting Covid-19,4 - Disagree,384,34026,14.86%,2013,16.41%,13.30%,17.23%,12.48%,19.08%
Denmark,I am worried about getting Covid-19,4 - Disagree,345,34026,14.86%,2001,16.41%,13.30%,17.24%,12.47%,17.24%
Canada,I am worried about getting Covid-19,4 - Disagree,301,34026,14.86%,1971,16.43%,13.29%,17.26%,12.45%,15.27%
Australia,I am worried about getting Covid-19,4 - Disagree,389,34026,14.86%,1925,16.45%,13.27%,17.29%,12.42%,20.21%
United Kingdom,I am worried about getting Covid-19,3 - Neutral,842,34026,28.71%,3004,30.33%,27.09%,31.19%,26.23%,28.03%
Sweden,I am worried about getting Covid-19,3 - Neutral,883,34026,28.71%,3005,30.33%,27.09%,31.19%,26.23%,29.38%
Spain,I am worried about getting Covid-19,3 - Neutral,555,34026,28.71%,3008,30.33%,27.09%,31.19%,26.24%,18.45%
South Korea,I am worried about getting Covid-19,3 - Neutral,247,34026,28.71%,978,31.55%,25.87%,33.05%,24.37%,25.26%
Singapore,I am worried about getting Covid-19,3 - Neutral,562,34026,28.71%,1961,30.71%,26.71%,31.78%,25.65%,28.66%
Norway,I am worried about getting Covid-19,3 - Neutral,875,34026,28.71%,3005,30.33%,27.09%,31.19%,26.23%,29.12%
Netherlands,I am worried about getting Covid-19,3 - Neutral,567,34026,28.71%,1521,30.98%,26.44%,32.19%,25.23%,37.28%
Japan,I am worried about getting Covid-19,3 - Neutral,357,34026,28.71%,1502,31.00%,26.42%,32.21%,25.21%,23.77%
Italy,I am worried about getting Covid-19,3 - Neutral,969,34026,28.71%,3004,30.33%,27.09%,31.19%,26.23%,32.26%
Germany,I am worried about getting Covid-19,3 - Neutral,625,34026,28.71%,2059,30.66%,26.76%,31.70%,25.72%,30.35%
France,I am worried about getting Covid-19,3 - Neutral,896,34026,28.71%,3069,30.31%,27.11%,31.16%,26.26%,29.20%
Finland,I am worried about getting Covid-19,3 - Neutral,665,34026,28.71%,2013,30.69%,26.73%,31.74%,25.69%,33.04%
Denmark,I am worried about getting Covid-19,3 - Neutral,617,34026,28.71%,2001,30.69%,26.73%,31.74%,25.68%,30.83%
Canada,I am worried about getting Covid-19,3 - Neutral,533,34026,28.71%,1971,30.71%,26.71%,31.77%,25.65%,27.04%
Australia,I am worried about getting Covid-19,3 - Neutral,576,34026,28.71%,1925,30.73%,26.69%,31.80%,25.62%,29.92%
United Kingdom,I am worried about getting Covid-19,2 - Agree,695,34026,21.23%,3004,22.69%,19.77%,23.47%,18.99%,23.14%
Sweden,I am worried about getting Covid-19,2 - Agree,585,34026,21.23%,3005,22.69%,19.77%,23.47%,18.99%,19.47%
Spain,I am worried about getting Covid-19,2 - Agree,607,34026,21.23%,3008,22.69%,19.77%,23.47%,18.99%,20.18%
South Korea,I am worried about getting Covid-19,2 - Agree,279,34026,21.23%,978,23.79%,18.67%,25.15%,17.31%,28.53%
Singapore,I am worried about getting Covid-19,2 - Agree,522,34026,21.23%,1961,23.04%,19.42%,24.00%,18.46%,26.62%
Norway,I am worried about getting Covid-19,2 - Agree,633,34026,21.23%,3005,22.69%,19.77%,23.47%,18.99%,21.06%
Netherlands,I am worried about getting Covid-19,2 - Agree,292,34026,21.23%,1521,23.29%,19.18%,24.38%,18.09%,19.20%
Japan,I am worried about getting Covid-19,2 - Agree,398,34026,21.23%,1502,23.30%,19.16%,24.40%,18.07%,26.50%
Italy,I am worried about getting Covid-19,2 - Agree,640,34026,21.23%,3004,22.69%,19.77%,23.47%,18.99%,21.30%
Germany,I am worried about getting Covid-19,2 - Agree,425,34026,21.23%,2059,23.00%,19.46%,23.93%,18.53%,20.64%
France,I am worried about getting Covid-19,2 - Agree,569,34026,21.23%,3069,22.68%,19.78%,23.45%,19.02%,18.54%
Finland,I am worried about getting Covid-19,2 - Agree,446,34026,21.23%,2013,23.02%,19.44%,23.97%,18.50%,22.16%
Denmark,I am worried about getting Covid-19,2 - Agree,413,34026,21.23%,2001,23.02%,19.44%,23.97%,18.49%,20.64%
Canada,I am worried about getting Covid-19,2 - Agree,376,34026,21.23%,1971,23.04%,19.43%,23.99%,18.47%,19.08%
Australia,I am worried about getting Covid-19,2 - Agree,344,34026,21.23%,1925,23.06%,19.40%,24.03%,18.43%,17.87%
United Kingdom,I am worried about getting Covid-19,1 - Strongly agree,739,34026,24.28%,3004,25.81%,22.75%,26.63%,21.93%,24.60%
Sweden,I am worried about getting Covid-19,1 - Strongly agree,582,34026,24.28%,3005,25.81%,22.75%,26.63%,21.93%,19.37%
Spain,I am worried about getting Covid-19,1 - Strongly agree,1402,34026,24.28%,3008,25.81%,22.75%,26.63%,21.94%,46.61%
South Korea,I am worried about getting Covid-19,1 - Strongly agree,284,34026,24.28%,978,26.97%,21.59%,28.39%,20.17%,29.04%
Singapore,I am worried about getting Covid-19,1 - Strongly agree,477,34026,24.28%,1961,26.18%,22.38%,27.19%,21.38%,24.32%
Norway,I am worried about getting Covid-19,1 - Strongly agree,619,34026,24.28%,3005,25.81%,22.75%,26.63%,21.93%,20.60%
Netherlands,I am worried about getting Covid-19,1 - Strongly agree,204,34026,24.28%,1521,26.44%,22.13%,27.58%,20.98%,13.41%
Japan,I am worried about getting Covid-19,1 - Strongly agree,616,34026,24.28%,1502,26.45%,22.11%,27.60%,20.96%,41.01%
Italy,I am worried about getting Covid-19,1 - Strongly agree,762,34026,24.28%,3004,25.81%,22.75%,26.63%,21.93%,25.37%
Germany,I am worried about getting Covid-19,1 - Strongly agree,379,34026,24.28%,2059,26.13%,22.43%,27.12%,21.45%,18.41%
France,I am worried about getting Covid-19,1 - Strongly agree,679,34026,24.28%,3069,25.80%,22.76%,26.60%,21.96%,22.12%
Finland,I am worried about getting Covid-19,1 - Strongly agree,300,34026,24.28%,2013,26.15%,22.41%,27.15%,21.41%,14.90%
Denmark,I am worried about getting Covid-19,1 - Strongly agree,383,34026,24.28%,2001,26.16%,22.40%,27.16%,21.41%,19.14%
Canada,I am worried about getting Covid-19,1 - Strongly agree,505,34026,24.28%,1971,26.17%,22.39%,27.18%,21.38%,25.62%
Australia,I am worried about getting Covid-19,1 - Strongly agree,331,34026,24.28%,1925,26.20%,22.37%,27.21%,21.35%,17.19%
United Kingdom,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,731,34026,12.30%,3004,13.47%,11.12%,14.09%,10.50%,24.33%
Sweden,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,418,34026,12.30%,3005,13.47%,11.12%,14.09%,10.50%,13.91%
Spain,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,294,34026,12.30%,3008,13.47%,11.12%,14.09%,10.50%,9.77%
South Korea,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,39,34026,12.30%,978,14.35%,10.24%,15.45%,9.15%,3.99%
Singapore,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,77,34026,12.30%,1961,13.75%,10.84%,14.52%,10.07%,3.93%
Norway,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,375,34026,12.30%,3005,13.47%,11.12%,14.09%,10.50%,12.48%
Netherlands,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,204,34026,12.30%,1521,13.95%,10.65%,14.82%,9.77%,13.41%
Japan,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,38,34026,12.30%,1502,13.96%,10.64%,14.84%,9.75%,2.53%
Italy,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,454,34026,12.30%,3004,13.47%,11.12%,14.09%,10.50%,15.11%
Germany,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,215,34026,12.30%,2059,13.71%,10.88%,14.47%,10.13%,10.44%
France,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,339,34026,12.30%,3069,13.46%,11.13%,14.07%,10.52%,11.05%
Finland,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,200,34026,12.30%,2013,13.73%,10.86%,14.49%,10.10%,9.94%
Denmark,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,342,34026,12.30%,2001,13.74%,10.86%,14.50%,10.09%,17.09%
Canada,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,258,34026,12.30%,1971,13.75%,10.85%,14.52%,10.08%,13.09%
Australia,I am worried about potential side effects of a Covid-19 vaccine,5 - Strongly disagree,200,34026,12.30%,1925,13.76%,10.83%,14.54%,10.05%,10.39%
United Kingdom,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,760,34026,16.38%,3004,17.71%,15.06%,18.41%,14.36%,25.30%
Sweden,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,580,34026,16.38%,3005,17.70%,15.06%,18.41%,14.36%,19.30%
Spain,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,365,34026,16.38%,3008,17.70%,15.06%,18.41%,14.36%,12.13%
South Korea,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,121,34026,16.38%,978,18.70%,14.06%,19.93%,12.83%,12.37%
Singapore,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,163,34026,16.38%,1961,18.02%,14.74%,18.89%,13.87%,8.31%
Norway,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,556,34026,16.38%,3005,17.70%,15.06%,18.41%,14.36%,18.50%
Netherlands,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,316,34026,16.38%,1521,18.24%,14.52%,19.23%,13.53%,20.78%
Japan,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,97,34026,16.38%,1502,18.25%,14.51%,19.25%,13.52%,6.46%
Italy,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,506,34026,16.38%,3004,17.71%,15.06%,18.41%,14.36%,16.84%
Germany,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,320,34026,16.38%,2059,17.98%,14.78%,18.83%,13.93%,15.54%
France,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,366,34026,16.38%,3069,17.69%,15.07%,18.39%,14.38%,11.93%
Finland,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,387,34026,16.38%,2013,18.00%,14.76%,18.86%,13.91%,19.23%
Denmark,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,458,34026,16.38%,2001,18.00%,14.76%,18.86%,13.90%,22.89%
Canada,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,283,34026,16.38%,1971,18.02%,14.75%,18.88%,13.88%,14.36%
Australia,I am worried about potential side effects of a Covid-19 vaccine,4 - Disagree,296,34026,16.38%,1925,18.03%,14.73%,18.91%,13.85%,15.38%
United Kingdom,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,643,34026,23.80%,3004,25.32%,22.28%,26.13%,21.47%,21.40%
Sweden,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,718,34026,23.80%,3005,25.32%,22.28%,26.13%,21.47%,23.89%
Spain,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,669,34026,23.80%,3008,25.32%,22.28%,26.13%,21.47%,22.24%
South Korea,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,290,34026,23.80%,978,26.47%,21.13%,27.88%,19.71%,29.65%
Singapore,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,452,34026,23.80%,1961,25.68%,21.91%,26.68%,20.91%,23.05%
Norway,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,756,34026,23.80%,3005,25.32%,22.28%,26.13%,21.47%,25.16%
Netherlands,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,391,34026,23.80%,1521,25.94%,21.66%,27.08%,20.52%,25.71%
Japan,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,370,34026,23.80%,1502,25.95%,21.65%,27.10%,20.50%,24.63%
Italy,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,807,34026,23.80%,3004,25.32%,22.28%,26.13%,21.47%,26.86%
Germany,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,465,34026,23.80%,2059,25.64%,21.96%,26.61%,20.98%,22.58%
